关键词,变体词,卖家竞争度,橱窗数,16年06月搜索热度,16年05月搜索热度,16年04月搜索热度,16年03月搜索热度,16年02月搜索热度,16年01月搜索热度,15年12月搜索热度,15年11月搜索热度,15年10月搜索热度,15年09月搜索热度,15年08月搜索热度,15年07月搜索热度,P4P关键词,更新时间
wrist cell phone holder,,150,1,8,25,34,20,21,39,35,24,23,21,27,46,False,201605
paper towel holder stainless steel,,25,0,8,21,38,60,90,28,24,31,44,24,34,50,False,201605
candle holder carousel,,35,0,8,3,1,3,21,120,60,32,13,4,20,8,False,201605
mini blade fuse holder,,56,3,8,7,20,70,12,4,11,19,13,5,11,19,False,201605
phone holder ps4,,9,0,8,1,3,5,100,31,11,1,1,60,1,1,False,201605
thumb holder,,19,0,8,1,11,32,100,5,1,8,9,15,9,5,False,201605
stainless steel paper towel holder,,106,1,8,29,46,20,11,20,19,29,46,21,27,80,False,201605
mini fuse holder,,75,4,7,39,180,120,70,12,15,15,13,21,19,20,False,201605
iphone car mobile holder,,5,0,7,60,120,20,1,1,1,1,1,1,1,1,False,201605
hand painted glass candle holder,,192,10,7,21,11,8,35,43,34,27,17,34,21,20,False,201605
kids toothbrush holder,,188,3,7,13,24,21,24,32,35,70,70,60,40,44,False,201605
crystal tealight holder,,56,1,7,5,23,12,60,13,20,16,19,21,16,7,False,201605
pen holder clock,,124,2,7,25,35,9,31,23,20,20,11,70,29,9,False,201605
wall hanging business card holder,,133,0,7,21,46,36,36,20,34,40,70,38,60,60,False,201605
daylight lamp holder,,38,0,7,17,36,60,35,39,60,46,36,35,39,46,False,201605
blx a fuse holder,,20,0,7,24,90,70,42,20,16,20,12,11,19,5,False,201605
mop and broom holder wall,,4,1,7,25,50,80,38,19,1,1,1,1,1,1,False,201605
phone finger holder,,38,1,5,25,23,8,27,38,23,17,17,44,12,17,False,201605
saffiano leather card holder,,18,2,5,9,32,44,19,100,20,36,21,9,17,1,False,201605
silicone pacifier holder,,37,0,5,17,25,19,36,40,20,13,17,29,23,23,False,201605
maxi fuse holder,,31,1,5,21,11,60,21,3,17,11,1,12,11,4,False,201605
bath wine glass holder,,2,0,5,9,16,25,70,29,12,15,4,11,9,13,False,201605
lid holder,,34,0,5,29,24,23,15,38,60,70,13,29,8,35,False,201605
ski pole holder,,21,0,5,24,24,47,60,25,38,29,19,19,3,9,False,201605
toilet phone holder,,11,0,5,1,7,15,90,35,1,1,1,1,4,1,False,201605
minions toothbrush holder,,21,0,5,32,34,16,15,47,120,150,330,120,9,1,False,201605
mega fuse holder,,8,0,5,13,8,70,28,4,16,12,12,25,60,11,False,201605
card holder for cellphone,,22,0,5,8,80,19,40,1,3,4,1,1,1,1,False,201605
metal reindeer candle holder,,141,9,4,1,9,17,36,100,120,70,38,32,8,21,False,201605
ul fuse holder,,18,0,4,13,50,70,27,1,7,1,1,5,8,4,False,201605
car phone holder.html,,33,0,4,38,750,1,1,1,1,1,1,1,1,1,False,201605
camera battery holder,,18,0,4,13,90,120,48,1,1,1,1,1,1,1,False,201605
pillow cup holder,,24,0,4,21,12,16,28,39,16,25,15,17,12,15,False,201605
multifix tool holder,,8,0,4,28,31,31,24,25,24,9,21,15,21,11,False,201605
qi wireless car charger holder,,58,2,4,23,80,330,70,1,1,1,1,1,1,3,False,201605
birdcage candle holder,,64,0,4,11,24,28,80,15,27,31,34,36,32,20,False,201605
mirror case with card holder for iphone 6,,25,0,3,11,8,13,60,70,150,150,36,13,24,11,False,201605
candle holder wedding favors,,54,0,3,12,35,70,27,11,5,1,7,4,3,3,False,201605
mobile phone charger holder,,125,0,3,7,8,7,12,90,4,3,9,12,5,9,False,201605
alco fuse holder,,6,1,3,5,120,50,46,9,9,5,8,13,7,11,False,201605
lovely turtle cell phone holder,,25,0,3,8,20,16,40,60,21,23,36,80,60,27,False,201605
8aa battery holder 12v,,1,0,3,60,70,70,90,70,4,1,23,4,1,1,False,201605
nespresso capsule holder wall,,4,0,3,3,1,8,48,90,70,20,25,42,11,12,False,201605
12v battery holder,,20,1,3,13,80,120,34,7,15,4,15,7,13,5,False,201605
sexy animal resin toilet paper holder peeping cats design,,3,0,1,1,1,3,70,100,60,35,28,12,11,13,False,201605
10a fuse holder,,37,0,1,16,70,60,47,1,4,1,7,5,5,3,False,201605
make battery holder,,3,0,1,4,60,100,28,1,4,1,1,1,1,1,False,201605
g24 lamp holder,,44,0,1,5,7,7,60,44,1,4,8,13,1,3,False,201605
lazy arm phone holder,,30,0,1,1,5,3,150,3,5,1,1,1,1,1,False,201605
car fuse holder 30a,,3,0,1,4,46,42,31,1,1,1,1,1,1,1,False,201605
unique design knife holder,,9,0,1,1,1,420,1,1,1,1,1,1,1,1,False,201605
6 compartment condiment holder,,8,0,1,4,44,20,60,80,90,42,1,1,1,1,False,201605
battery holder 3 aa,,12,0,1,1,15,80,12,13,12,7,13,9,5,8,False,201605
chengxin quanqiu phone holder,,4,0,1,3,150,1,1,1,1,1,1,1,1,1,False,201605
snowman stocking holder,,15,0,1,1,1,3,17,100,60,12,1,4,1,1,False,201605
softtextile towel holder,,1,0,1,1,80,1,120,1,1,1,1,1,1,1,False,201605
holder magnetic car,,41,2,1,15,7,13,60,47,7,11,1,1,1,1,False,201605
secuirty holder for ipad,,2,0,1,1,120,60,1,1,1,1,1,1,1,1,False,201605
